Condition,A,
Initials,MC,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,perhaps the herring eat the mackeral,0
What is the effect on winter flounder?,Increased a lot,3
Why?,"less flatsish being hunted, higher flounder population",1.5
What is the effect on yellowtail flounder?,Increased a little,2
Why?,less being hunted,0
What is the effect on skates?,Decreased a lot,3
Why?,more being hunted,2
What is the effect on cod?,Increased a lot,3
Why?,they compete for the same food,0
What is the effect on haddock?,Decreased a little,2
Why?,haddock eat elasmobranches,0
What is the effect on windowpane?,Decreased a little,1
Why?,windowpane eat elasmobranches,0
