Condition,C,
Initials,AG,
Gender,Female,
College,CHHS,
What is the effect on herring?,Decreased a little,3
Why?,"The Herring population decreased because the compete with the Mackerel population. Since we doubled the fish, there were more fish to compete with.",0
What is the effect on winter flounder?,Increased a lot,3
Why?,The Winter Flounder population increased because the flatfish population was halved. The Winter Flounder compete with with the Yellow Tail flounder. ,0
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,They stayed the same because the other flatfish compete with them. ,2
What is the effect on skates?,Decreased a lot,3
Why?,The saktes population decreased a lot since the compete with Spiny Dogfish. The Spiny Dogfish population was doubled so therefor there was more competition. ,0
What is the effect on cod?,Increased a lot,3
Why?,"The cod population increased because when the Elasmobranchs was doubled, they predate on Cod.  ",1
What is the effect on haddock?,Decreased a little,2
Why?,The haddock population decreased a little since there was competion with the increase in Skate population. ,0
What is the effect on windowpane?,Decreased a lot,3
Why?,The Windowpane population decreased because the Skate population increased and they are competitiors. ,0
