Condition,C,
Initials,m m,
Gender,Female,
College,CEPS,
What is the effect on herring?,Decreased a little,3
Why?,because they are competing with mackerel,0
What is the effect on winter flounder?,Increased a lot,3
Why?,there is less fishing effort so they are more,2
What is the effect on yellowtail flounder?,Increased a little,2
Why?,the competeting with the others is not as much,1
What is the effect on skates?,Decreased a lot,3
Why?,they were harvesteds so they are less,3
What is the effect on cod?,Increased a lot,3
Why?,because thier predetors - elasmobranchs are harvested a lot. cod population increased,3
What is the effect on haddock?,Decreased a little,2
Why?,more competetion for hadocc from cod.. cod increased because thier predetors decreased. and cods are competetors with hadock.,3
What is the effect on windowpane?,Stayed about the same,0
Why?,competetors winter founder and yellowtail founder has less competetion from elasmobranhes. ,3
