Condition,A,
Initials,AO,
Gender,Male,
College,COLSA,
What is the effect on herring?,Decreased a little,3
Why?,The small pelagics were a necessary resource for the herring. As they went down so did the survival rate of herring.,0
What is the effect on winter flounder?,Increased a lot,3
Why?,Winter flounder increased as flatfish efforts decreased due to the fact that winter flounder is reliant on the survival flatfish.,0
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"While not as relaint as winter flounder, it is still a bit reliant.",0
What is the effect on skates?,Decreased a lot,3
Why?,"As elasmoranchs population decreased, the population of skates decreased due to the fact that one is relaint on the other.",0
What is the effect on cod?,Increased a lot,3
Why?,The cod now had less competition for resources.,0
What is the effect on haddock?,Decreased a little,2
Why?,They were slightly relaint on Elasmobranchs ,0
What is the effect on windowpane?,Decreased a little,1
Why?,Resources became less avaliable with the fishing increase.,0
