Condition,B,
Initials,MC,
Gender,Female,
College,COLA,
What is the effect on herring?,Increased a little,0
Why?,Because there was more fish for the Herring.,0
What is the effect on winter flounder?,Stayed about the same,0
Why?,The decrease didn't affect them that much.,0
What is the effect on yellowtail flounder?,Decreased a lot,0
Why?,There was less fish for them to eat. ,0.5
What is the effect on skates?,Increased a little,0
Why?,There was more fish for them to eat. ,0
What is the effect on cod?,Stayed about the same,0
Why?,Because they don't hunt each other. ,0
What is the effect on haddock?,Stayed about the same,0
Why?,They don't hunt each other. ,0
What is the effect on windowpane?,Decreased a lot,3
Why?,There was no fish for them to eat. ,0
