Condition,D,
Initials,AN,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,both the mackerel and herring are competing for the same food. ,0
What is the effect on winter flounder?,Increased a lot,3
Why?,There is more food for them to have. ,0
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"they get to hav more food, but not all that much because they eat haddack",0
What is the effect on skates?,Decreased a lot,3
Why?,grond fish and falt fish increase probably becaue they eat the elasmobranches ,0
What is the effect on cod?,Increased a lot,3
Why?,they get get more food. ,0
What is the effect on haddock?,Decreased a little,2
Why?,"there have to compete with flat fish for the elasmobranches",0
What is the effect on windowpane?,Decreased a little,1
Why?,they have to compete for food with the cod,1
