Condition,B,
Initials,MHB,
Gender,Female,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,"Because we decreased the harvest of the small pelagics, the herring decreased because they are in that species group.",3
What is the effect on winter flounder?,Increased a lot,3
Why?,"Because the competition decreased for flounder. By increasing the flatfish harvest, the yellowtail flounder decreased, giving the winter flounder less competition.",1
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Decreasing the harvest of flatfish increased the yellowtail by just a little because they are the lowest on the competition chain.,2
What is the effect on skates?,Decreased a lot,3
Why?,"Because there are less herring to consume, the skates decreased a lot",0
What is the effect on cod?,Increased a lot,3
Why?,"Spiny dogfish eat cod so because of the decrease of spiny dog fish, cod population increased",3
What is the effect on haddock?,Decreased a little,2
Why?,"Because of the increase in cod, cod compete with haddock therefore haddock with slowly decrease",1
What is the effect on windowpane?,Decreased a little,1
Why?,"cod compete with windowpane, therefore the drastic increase in cod caused the windowpane to decrease",1
