Condition,B,
Initials,CJM,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,"as we catch more small pelagics, the amount of herring decreases",2
What is the effect on winter flounder?,Increased a lot,3
Why?,"as we catch less flatfish, the amount of winter flounder increases",2
What is the effect on yellowtail flounder?,Increased a little,2
Why?,because the yellow tail flounder compete with the winter flounder and windowpane and both increase a lot so the yellowtail gets less food,3
What is the effect on skates?,Decreased a lot,3
Why?,"as we catch more elasmobranchs, the amount of skates decreases.",2
What is the effect on cod?,Decreased a lot,0
Why?,"the spiny dogfish is a big predator of the cod, so as we catch more spiny dogfish, the amount of cod increases.",3
What is the effect on haddock?,Decreased a little,2
Why?,"haddock and cod are competitors, so because the cod increases a lot, haddock will only increase a little.",0
What is the effect on windowpane?,Decreased a little,1
Why?,"windowpane's compete with cod, so as the amount of cod increases, the more competition the windowpane fish will have",1
