Condition,B,
Initials,JPE,
Gender,Male,
College,COLSA,
What is the effect on herring?,Decreased a little,3
Why?,More herring is being harvested.,1
What is the effect on winter flounder?,Increased a lot,3
Why?,There is less of an effort to harvest winter flounder so the population has more of an opportunity to flourish.,2
What is the effect on yellowtail flounder?,Increased a little,2
Why?,With previous harvesting efforts the yellowtail flounder already has the potential to create large populations so the opportunity to grow was small by reducing harvesting efforts.,0
What is the effect on skates?,Decreased a lot,3
Why?,"More harvesting is being done, thus less skates can reproduce and populate. ",2
What is the effect on cod?,Increased a lot,3
Why?,"With a decrease in spiny dogfish, a primary predotor of cod, the cod species are able to thrive due to the decrease in predation. ",3
What is the effect on haddock?,Decreased a little,2
Why?,haddock competes heavily with cod which increases substantially. The increase of cod subtracts from the resources available to haddock and consequentially cause the population to drop. ,2
What is the effect on windowpane?,Decreased a lot,3
Why?,"With the increase of winter flounder and yellowtail flounder in response to an increased harvesting effort of elasmobrachs, windowpane decrease significantly due to a strongly competitive relationship with winter flounder and yellowtail flounder. ",3
