Condition,C,
Initials,LS,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,Herring compete with Mackerel,0
What is the effect on winter flounder?,Increased a lot,3
Why?,All the flat harvest fish compete for the same other fish.,0
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Windowpore compete with the yellow tail fish and with the increase in windowpore fish the yellow tail fish won't increase as much.,3
What is the effect on skates?,Decreased a lot,3
Why?,Skates compete with the Winter flounder fish and when doubling the effort the flat fish rate increased a lot more leaving the skates to decrease a lot.,0
What is the effect on cod?,Increased a lot,3
Why?,Cod predate on the Mackerel fish and the Herring fish. since they stayed about the same the cod had the upperhand which increaed them,0
What is the effect on haddock?,Stayed about the same,0
Why?,They compete with a couple different types of fish. Since the other fish didn't decrease as much the haddock will stay about the same,0
What is the effect on windowpane?,Decreased a lot,3
Why?,The Skates compete with the windowpane and since the other fish are increasing the windowpane is decreasing,0
