Condition,C,
Initials,SV,
Gender,Female,
College,CHHS,
What is the effect on herring?,Decreased a little,3
Why?,Catching more herring decreses the population. Also herring compete with mackerel. ,2
What is the effect on winter flounder?,Increased a lot,3
Why?,Catching less of winter flounder will result in a higher population of winter flounder. ,2
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Windowpane and winter flounder both compete with yellowtail flounder. ,2
What is the effect on skates?,Decreased a lot,3
Why?,Catching more of skates will decrease the population. ,2
What is the effect on cod?,Increased a lot,3
Why?,Spiny dogfish prey on cod.,1
What is the effect on haddock?,Decreased a little,2
Why?,Haddock compete with cod for resources and the cod population increased. ,1
What is the effect on windowpane?,Decreased a lot,3
Why?,Cod and windowpane both compete for food and resources. ,1
