Condition,D,
Initials,AM,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,Because the small pelagic harvest was doubled and they're in competition with the Mackerel.,2
What is the effect on winter flounder?,Increased a lot,3
Why?,Because the Flatfish is in competiton with the Haddock and also the harvesting of the Flatfish was cut in half.,2
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Because the Flatfish was cut in half and the competition of the Winter Flounder and Windowpane decreased.,2
What is the effect on skates?,Decreased a lot,3
Why?,"Obviously because of the doubling of Elasmobranchs harvest, but also because of a lot of predation of the Cod.",2
What is the effect on cod?,Increased a lot,3
Why?,Because of the predation of the Cod on species like the Spiny Dogfish and Skates,2
What is the effect on haddock?,Decreased a little,2
Why?,Because of the competition between with the Elasmobranchs,0
What is the effect on windowpane?,Decreased a lot,3
Why?,"Because the Cod compete with the Windowpane, thus depleting them.",1
