Condition,B,
Initials,JCR,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,because the fish are caught,0
What is the effect on winter flounder?,Increased a lot,3
Why?,it increase a lot because they are no longer in competition ,0
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"the yellowtail is no longer in competition either",0
What is the effect on skates?,Decreased a lot,3
Why?,when the elasmobranchs are harvested the skates lose food ,0
What is the effect on cod?,Increased a lot,3
Why?,cod dont have any competition ,0
What is the effect on haddock?,Decreased a little,2
Why?,nothing to eat ,0
What is the effect on windowpane?,Decreased a lot,3
Why?,lost food,0
