Condition,C,
Initials,RPF,
Gender,Male,
College,CEPS,
What is the effect on herring?,Decreased a lot,2
Why?,Because we are catching twice as much a day as we did before hand.,1
What is the effect on winter flounder?,Increased a little,1
Why?,We are harvesting less of them so the population increases.,1.5
What is the effect on yellowtail flounder?,Increased a little,2
Why?,There is less harvesting and less competition from the windowpane and winter flounder,2
What is the effect on skates?,Decreased a lot,3
Why?,We doubled the harvest effort,1
What is the effect on cod?,Increased a lot,3
Why?,There is less dogfish to eat them,1
What is the effect on haddock?,Decreased a little,2
Why?,Because there is less competition with the cod which has increased due to the lack of dogfish,2
What is the effect on windowpane?,Decreased a little,1
Why?,"It has more competition with the cod, which has increased due to the lack of dogfish",2
