Condition,C,
Initials,ZC,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,"we are catching more, therefore less will be around over time",1.5
What is the effect on winter flounder?,Increased a lot,3
Why?,we are catching half as many so the number will increase,1.5
What is the effect on yellowtail flounder?,Increased a little,2
Why?,overtime the number increases at a slow rate because we are catching less,1.5
What is the effect on skates?,Decreased a lot,3
Why?,because we are catching twice as many the number will decrease rapidly,1
What is the effect on cod?,Increased a lot,3
Why?,"dince spiney dogfish predate cod and spiny dogfish are decreaseing due to twice as much fishing, cod population will not be predated and will thus rise",3
What is the effect on haddock?,Decreased a little,2
Why?,they are in competition with skates,0.5
What is the effect on windowpane?,Increased a little,0
Why?,they are in competition with elasmobranches,0.5
