Condition,D,
Initials,PG,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,changes because herring is a small pelogic fish so it was hunted more,3
What is the effect on winter flounder?,Increased a lot,3
Why?,less hunting means increased population for flatfish,2.5
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,the yellowtail remained constant ,1
What is the effect on skates?,Decreased a lot,3
Why?,Increased fishing efforts drastically reduced the number of skates,1
What is the effect on cod?,Increased a lot,3
Why?,"With the increase on the Elasmobranchs harvest, COd increases and thrives",1
What is the effect on haddock?,Decreased a little,2
Why?,little change with the haddock,0
What is the effect on windowpane?,Decreased a lot,3
Why?,Increased competition between fish cased windowpane fish to be hunted more decreasing the population,0
