Condition,B,
Initials,BG,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,"Herring is a small pelagic species. If effort is increased to harvest small pelagics, herring population would go down. ",3
What is the effect on winter flounder?,Increased a lot,3
Why?,"The population increased from about 5k to about 25k for the first 15 years. Then it dropped back to 20k the last 15 years. The decrease in the last 15 years might be due to internal competition, meaning the winter flounder over-burdened its food supply, acting as a check on their numbers. ",0
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"Maybe because the winter flounder increased so substantially, they out-competed the yellowtail",2.5
What is the effect on skates?,Decreased a lot,3
Why?,More effort for harvest equals decreased numbers of skates,2
What is the effect on cod?,Increased a lot,3
Why?,"Lots of spiny dogfish (elasmobranch) predate on cod. With fewer predators, cod will increase",3
What is the effect on haddock?,Decreased a little,2
Why?,"The haddock compete with the cod. There were more cod because there were fewer spiny dogfish. The haddock have a harder time competing with increaed cod, so haddock decrease slightly",3
What is the effect on windowpane?,Decreased a little,1
Why?,Cod compete with them. More cod because of fewer dogfish,2.5
