Condition,B,
Initials,FS,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a lot,2
Why?,Herring population decreased because the 2 types of fish (the Cod and the Redfish) predate on them and because the herring are being harvested twice as much the population has decrease. If the fishing continues like this then they will dissapear.,1.5
What is the effect on winter flounder?,Increased a lot,3
Why?,Because they aren't being harvested as much as they used to be.,3
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Increase because they aren't being harvested as much as they were before but it didn't increased a lot because Cod fish eat a small of them.,0.5
What is the effect on skates?,Decreased a lot,3
Why?,There isn't a lot of Elasmobranchs fish so increasing the harvest efforts affects them by a lot.,0.5
What is the effect on cod?,Increased a lot,3
Why?,Their population increased because there aren't as many predators (Elasmobranchs) hunting them.,2
What is the effect on haddock?,Decreased a little,2
Why?,There isn't alot of competition between haddocks and Spiny Dogfish or Skates.,0
What is the effect on windowpane?,Decreased a lot,3
Why?,Because there's a lot of competition between the Windowpane fish and other fish which causes their decrease in biomass.,1
