Condition,B,
Initials,MCM,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,"Herring are a small pelagic.  Increasing the harvest efforts of small pelagics will decrease the number of those fish.  Hence, the number of herring decreased.",3
What is the effect on winter flounder?,Increased a lot,3
Why?,"Halving the harvest effort of flatfish will increase the number of flatfish.  Winter flounder are flatfish.  Hence, the number of winter flounder increased.",3
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"Although halving the harvest effort of flatfish (including yellowtail flounder) would ordinarily lead to an increase,Cod predate on yellowtail flounder, and not other flatfish.  hence, the number of yellowtail flounder did not increase in a similar manner to other flatfish.",1.5
What is the effect on skates?,Decreased a lot,3
Why?,"Doubling the harvest effort on elasmobranchs decreases the number of elasmobranchs.  Skates are elasmobranchs.  Hence, the number of skates decreased.",3
What is the effect on cod?,Increased a little,1
Why?,"The number of spiny dogfish decreased due to double harvests of elasmobranchs.  Spiny dogfish predate on cod.  Hence, fewer cod were predated on by spiny dogfish and their numbers increased.",3
What is the effect on haddock?,Decreased a little,2
Why?,"Cod increased due to a decrease in spiny dogfish.  Haddock competes with cod. Hence, an increase in cod leads to a decrease in haddock",3
What is the effect on windowpane?,Decreased a little,1
Why?,"Cod increased.  Cod compete with windowpane.  Hence, the decrease in windowpane over time is parallel to the increase in cod.",3
