Condition,A,
Initials,BCL,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,"Doubling fishing efforts of this type of fish species clearly decreases the size of the population of herring, as more are being caught",2
What is the effect on winter flounder?,Increased a lot,3
Why?,Less fishing means the fish species has fewer predators (humans) so the population increases as it has no limiting factors,2
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"The population of yellowtail flounder is not affected by fishing, so decreasing the effort for catching yellowtail has no effect on their population ",2
What is the effect on skates?,Decreased a lot,3
Why?,"These fish are probably caught in large numbers when being fished, so doubling the fishing effort would dramatically reduce their population ",1.5
What is the effect on cod?,Increased a lot,3
Why?,"Elasmobranchs are predators of cod, so when more elasmobranchs are being fished, their population decreases, which decreases the number of cods' predators, so their population can increase",2.5
What is the effect on haddock?,Decreased a little,2
Why?,"Haddock might feed on elasmobranchs, so when their food source is diminished, their own population decreases also",0
What is the effect on windowpane?,Decreased a little,1
Why?,"Windowpane may feed on elasmobranchs, so when their food source decreases, so does their population",0
