Condition,A,
Initials,KT,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a lot,2
Why?,The effect of doubling the small pelogics harvest caused there to be a decrease in herring due to harvesting.,
What is the effect on winter flounder?,Increased a lot,3
Why?,Because harvesting of flatfish decrease the population of winter flounder increased.,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"The harvest did not effect the yellowtail flounder very much",
What is the effect on skates?,Decreased a lot,3
Why?,"Since the harvset of elasmobranchs double, then the population of skates greatly decreased.",
What is the effect on cod?,Increased a lot,3
Why?,This may be due to cod being the source of food for elasmobranchs,
What is the effect on haddock?,Stayed about the same,0
Why?,It didn't have a significant effect.,
What is the effect on windowpane?,Decreased a little,1
Why?,The doubling of the elasmobranchs harvest caused the windowpane to decrease a little bit.,
