Condition,A,
Initials,NM,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,The increase of the harvest of small pelogics made the herring biomass decrease throughout the years because increased harvesting leading to less biomass.,
What is the effect on winter flounder?,Stayed about the same,0
Why?,I clicked okay by accident just thinking about moving onto the next question. Sorry!!,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,Same.,
What is the effect on skates?,Decreased a lot,3
Why?,"Due to more harvesting efforts of the elasmobranchs, the biomass of the skates decreased greatly.",
What is the effect on cod?,Increased a lot,3
Why?,The elasmobranchs increase in harvesting led to greater cod most likely because skates affected the biomass of the cod greatly.,
What is the effect on haddock?,Decreased a little,2
Why?,"Interestingly enough, even though cod was greatly affected by the increased harvesting efforts of the elasobranchs, the haddock only decreased a little im biomass most likely because skates do not have an effect on the haddock fish biomass.",
What is the effect on windowpane?,Decreased a little,1
Why?,"Windowpane were eventually affected by the increased harvesting efforts of the elasmobranchs. This is interesting because it took more time for them to be affected. In addition, the effects were in the middle of ""decreased a little"" to ""decreased a lot"" in my opinion.",
