Initials,Condition,Gender,College,What1,Why1,What2,Why2,What3,Why3,What4,Why4,What5,Why5,What6,Why6,What7,Why7
KT,A,Female,COLA,2,2,3,2,3,0,3,2,3,1.5,0,0,1,0
MR,A,Female,COLA,3,3,3,3,3,0,3,3,3,1.5,2,0,1,1.5
BCL,A,Male,COLA,3,3,3,3,3,0,3,3,3,2.5,2,0,1,0
NM,A,Female,COLA,3,3,0,0,3,0,3,2,3,0,2,0,1,0
BG,B,Male,COLA,3,3,3,0,3,2.5,3,2,3,3,2,3,1,2.5
FS,B,Male,COLA,2,1.5,3,3,2,0.5,3,0.5,3,2,2,0,3,1
TE,B,Male,COLA,3,3,3,3,2,3,3,3,3,3,0,0,1,0
AR,B,Male,COLA,3,1.5,3,2,3,2.5,3,2.5,3,3,2,3,3,0
MCM,B,Male,COLA,3,3,3,3,3,1.5,3,3,1,3,2,3,1,3
JW,C,Female,COLSA,3,2.5,3,0,2,2,3,3,0,0.5,2,3,1,0
